Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.0000,13,"(33.4,182.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0114s, 564.2m) -> TELCO (0.0360s, 707.1m) -> TSO (0.0732s, 1415.6m)",0.1206,DEADLINE_MISSED
0.0000,16,"(367.6,1416.0)",2.00,GNB_5,"PMU -> GNB_5 (0.0108s, 156.7m) -> TELCO (0.0394s, 707.1m) -> TSO (0.0704s, 1415.6m)",0.1207,DEADLINE_MISSED
0.0000,20,"(1367.5,1687.1)",2.00,GNB_6,"PMU -> GNB_6 (0.0181s, 229.3m) -> TELCO (0.0400s, 707.1m) -> TSO (0.0633s, 1415.6m)",0.1213,DEADLINE_MISSED
0.0000,25,"(700.7,1226.4)",2.00,GNB_3,"PMU -> GNB_3 (0.0087s, 302.6m) -> TELCO (0.0388s, 500.0m) -> TSO (0.0739s, 1415.6m)",0.1215,DEADLINE_MISSED
0.0000,1,"(700.5,968.9)",2.00,GNB_3,"PMU -> GNB_3 (0.0075s, 202.9m) -> TELCO (0.0362s, 500.0m) -> TSO (0.0793s, 1415.6m)",0.1230,DEADLINE_MISSED
0.0000,27,"(1034.1,1490.8)",2.00,GNB_6,"PMU -> GNB_6 (0.0064s, 466.0m) -> TELCO (0.0398s, 707.1m) -> TSO (0.0776s, 1415.6m)",0.1238,DEADLINE_MISSED
0.0000,0,"(367.2,901.1)",2.00,GNB_3,"PMU -> GNB_3 (0.0007s, 165.6m) -> TELCO (0.0390s, 500.0m) -> TSO (0.0842s, 1415.6m)",0.1239,DEADLINE_MISSED
0.0000,4,"(1033.7,372.4)",2.00,GNB_2,"PMU -> GNB_2 (0.0094s, 483.4m) -> TELCO (0.0367s, 707.1m) -> TSO (0.0789s, 1415.6m)",0.1250,DEADLINE_MISSED
0.0000,12,"(1366.8,114.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0164s, 407.4m) -> TELCO (0.0366s, 707.1m) -> TSO (0.0739s, 1415.6m)",0.1269,DEADLINE_MISSED
0.0000,5,"(1700.2,440.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0097s, 209.0m) -> TELCO (0.0370s, 707.1m) -> TSO (0.0814s, 1415.6m)",0.1281,DEADLINE_MISSED
0.0000,22,"(1034.2,751.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0112s, 527.8m) -> TELCO (0.0380s, 500.0m) -> TSO (0.0792s, 1415.6m)",0.1284,DEADLINE_MISSED
0.0000,18,"(1034.4,1680.2)",2.00,GNB_6,"PMU -> GNB_6 (0.0019s, 499.3m) -> TELCO (0.0378s, 707.1m) -> TSO (0.0896s, 1415.6m)",0.1292,DEADLINE_MISSED
0.0000,23,"(367.6,19.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0046s, 498.4m) -> TELCO (0.0406s, 707.1m) -> TSO (0.0862s, 1415.6m)",0.1314,DEADLINE_MISSED
0.0000,17,"(1700.8,283.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0082s, 295.0m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0842s, 1415.6m)",0.1321,DEADLINE_MISSED
0.0000,29,"(1367.3,1097.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0062s, 164.8m) -> TELCO (0.0426s, 500.0m) -> TSO (0.0835s, 1415.6m)",0.1324,DEADLINE_MISSED
0.0000,6,"(700.4,636.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0130s, 242.7m) -> TELCO (0.0375s, 707.1m) -> TSO (0.0819s, 1415.6m)",0.1324,DEADLINE_MISSED
0.0000,21,"(34.2,555.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0130s, 469.1m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0819s, 1415.6m)",0.1346,DEADLINE_MISSED
0.0000,2,"(1700.5,1964.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0055s, 506.0m) -> TELCO (0.0394s, 707.1m) -> TSO (0.0906s, 1415.6m)",0.1355,DEADLINE_MISSED
0.3333,11,"(367.2,901.1)",2.00,GNB_3,"PMU -> GNB_3 (0.0042s, 165.6m) -> TELCO (0.0370s, 500.0m) -> TSO (0.0878s, 1415.6m)",0.1290,OK
0.3333,12,"(700.5,968.9)",2.00,GNB_3,"PMU -> GNB_3 (0.0088s, 202.9m) -> TELCO (0.0371s, 500.0m) -> TSO (0.0842s, 1415.6m)",0.1301,OK
0.3333,13,"(1700.5,1964.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0162s, 506.0m) -> TELCO (0.0401s, 707.1m) -> TSO (0.0681s, 1415.6m)",0.1245,OK
0.3333,14,"(700.5,1633.2)",2.00,GNB_5,"PMU -> GNB_5 (0.0142s, 240.8m) -> TELCO (0.0353s, 707.1m) -> TSO (0.0630s, 1415.6m)",0.1125,OK
0.3333,15,"(1033.7,372.4)",2.00,GNB_2,"PMU -> GNB_2 (0.0035s, 483.4m) -> TELCO (0.0364s, 707.1m) -> TSO (0.0731s, 1415.6m)",0.1129,OK
0.3333,16,"(1700.2,440.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0044s, 209.0m) -> TELCO (0.0360s, 707.1m) -> TSO (0.0712s, 1415.6m)",0.1117,OK
0.3333,17,"(700.4,636.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0048s, 242.7m) -> TELCO (0.0384s, 707.1m) -> TSO (0.0849s, 1415.6m)",0.1281,OK
0.3333,18,"(1700.3,1504.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0044s, 200.4m) -> TELCO (0.0376s, 707.1m) -> TSO (0.0842s, 1415.6m)",0.1262,OK
0.3333,19,"(33.6,1043.7)",2.00,GNB_3,"PMU -> GNB_3 (0.0156s, 468.4m) -> TELCO (0.0339s, 500.0m) -> TSO (0.0855s, 1415.6m)",0.1350,OK
0.3333,0,"(700.2,311.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0034s, 275.0m) -> TELCO (0.0358s, 707.1m) -> TSO (0.0627s, 1415.6m)",0.1019,OK
0.3333,1,"(367.0,1707.8)",2.00,GNB_5,"PMU -> GNB_5 (0.0119s, 246.7m) -> TELCO (0.0386s, 707.1m) -> TSO (0.0710s, 1415.6m)",0.1215,OK
0.3333,2,"(33.6,1775.4)",2.00,GNB_5,"PMU -> GNB_5 (0.0076s, 541.6m) -> TELCO (0.0345s, 707.1m) -> TSO (0.0740s, 1415.6m)",0.1160,OK
0.3333,3,"(1366.8,114.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0075s, 407.4m) -> TELCO (0.0319s, 707.1m) -> TSO (0.0715s, 1415.6m)",0.1109,OK
0.3333,4,"(33.4,182.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0093s, 564.2m) -> TELCO (0.0354s, 707.1m) -> TSO (0.0544s, 1415.6m)",0.0991,OK
0.3333,5,"(1366.9,1579.3)",2.00,GNB_6,"PMU -> GNB_6 (0.0125s, 155.0m) -> TELCO (0.0351s, 707.1m) -> TSO (0.0703s, 1415.6m)",0.1179,OK
0.3333,6,"(366.8,447.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0115s, 143.3m) -> TELCO (0.0364s, 707.1m) -> TSO (0.0800s, 1415.6m)",0.1280,OK
0.3333,7,"(367.6,1416.0)",2.00,GNB_5,"PMU -> GNB_5 (0.0000s, 156.7m) -> TELCO (0.0344s, 707.1m) -> TSO (0.0772s, 1415.6m)",0.1116,OK
0.3333,8,"(1700.8,283.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0156s, 295.0m) -> TELCO (0.0335s, 707.1m) -> TSO (0.0700s, 1415.6m)",0.1191,OK
0.3333,9,"(1034.4,1680.2)",2.00,GNB_6,"PMU -> GNB_6 (0.0041s, 499.3m) -> TELCO (0.0369s, 707.1m) -> TSO (0.0738s, 1415.6m)",0.1148,OK
0.3333,10,"(1367.7,548.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0047s, 140.8m) -> TELCO (0.0376s, 707.1m) -> TSO (0.0804s, 1415.6m)",0.1227,OK
