2025/06/04 16:35:43 - simulation time 0.0000 (s) : === PMU Smart Grid DYNAMIC Collection Simulation Started ===
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Mode: DYNAMIC WINDOWS (starts with first data arrival)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Window: 0.5 seconds from first PMU data
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Orchestrator: PmuTaskOrchestrator (Dynamic Data Collection)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Network Model: PmuNetworkModel (Data-based transfers)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Architecture: PMUs send measurement data → TSO waits for window → Grid analysis
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Devices (PMUs): 30
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Datacenters: 7
2025/06/04 16:35:43 - simulation time 0.0000 (s) : TSO Cloud: TSO
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 19 [20/30] | Location (  222.0,  150.0) || Data ID:     20 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0148s, 447.0m) -> TELCO (0.0324s, 707.1m) -> TSO (0.1032s, 1415.6m) | Hop_Sum: 0.1503s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 29 [30/30] | Location ( 1378.0,  167.0) || Data ID:     30 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0159s, 354.6m) -> TELCO (0.0341s, 707.1m) -> TSO (0.1012s, 1415.6m) | Hop_Sum: 0.1511s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 16 [17/30] | Location (  769.0,  275.0) || Data ID:     17 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0259s, 350.7m) -> TELCO (0.0292s, 707.1m) -> TSO (0.1002s, 1415.6m) | Hop_Sum: 0.1554s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  7 [ 8/30] | Location ( 1685.0,  707.0) || Data ID:      8 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0199s, 277.6m) -> TELCO (0.0311s, 707.1m) -> TSO (0.1045s, 1415.6m) | Hop_Sum: 0.1554s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 20 [21/30] | Location (  216.0, 1898.0) || Data ID:     21 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0202s, 488.9m) -> TELCO (0.0332s, 707.1m) -> TSO (0.1020s, 1415.6m) | Hop_Sum: 0.1554s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 18 [19/30] | Location (   37.0, 1981.0) || Data ID:     19 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0230s, 667.6m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1119s, 1415.6m) | Hop_Sum: 0.1672s | [DEADLINE_MISSED]
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  4 [ 5/30] | Location ( 1043.0,  534.0) || Data ID:      5 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0177s, 458.3m) -> TELCO (0.0322s, 707.1m) -> TSO (0.1279s, 1415.6m) | Hop_Sum: 0.1778s | [DEADLINE_MISSED]
2025/06/04 16:35:43 - simulation time 0.0010 (s) : Grid Analysis Task 10026 created: Collection 0, Coverage 28/30 (TIMEOUT), Data 56.00 KB, PDC Waiting Time: 0.0449s
2025/06/04 16:35:43 - simulation time 0.0010 (s) : >>> Data Collection for Generation Time 0.0: 28/30 PMUs [TIMEOUT] <<<
2025/06/04 16:35:43 - simulation time 0.1010 (s) :   0.1010 | TSO: State_Est [28/30] | Location (   -1.0,   -1.0) || Task ID:  10026 | Data Size:  56.00 KB | Return:  50.00 KB | MaxLatency:  2.00 s | Length: 15000 MI || Source: TSO | Orchestrator: TSO | Destination: TSO || Wait:  0.0000s | Exec:  0.1000s | Net:  0.0000s | Total:  0.1000s || Status: [S] || Window: Window_0.000 | PDC Waiting: 0.0449s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  2 [ 3/30] | Location (  364.0,  988.0) || Data ID:     93 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0043s, 136.5m) -> TELCO (0.0251s, 500.0m) -> TSO (0.0927s, 1415.6m) | Hop_Sum: 0.1221s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 17 [18/30] | Location (  298.0, 1153.0) || Data ID:    108 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0032s, 253.4m) -> TELCO (0.0244s, 500.0m) -> TSO (0.1003s, 1415.6m) | Hop_Sum: 0.1278s |
