Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
60.0077,75416,Window_60.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1367,S,0.0150,1
61.0077,76498,Window_61.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1497,S,0.0150,1
62.0077,77588,Window_62.000,14/30,TIMEOUT,28.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1481,S,0.0150,1
63.0077,78685,Window_63.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1478,S,0.0150,1
64.0077,79772,Window_64.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1382,S,0.0150,1
65.0077,80861,Window_65.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1426,S,0.0150,1
66.0077,81951,Window_66.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1368,S,0.0150,1
67.0077,83034,Window_67.000,16/30,TIMEOUT,32.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1498,S,0.0150,1
68.0077,84129,Window_68.000,15/30,TIMEOUT,30.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1526,S,0.0150,1
69.0077,85218,Window_69.000,15/30,TIMEOUT,30.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1549,S,0.0150,1
70.0077,86316,Window_70.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1473,S,0.0150,1
71.0077,87398,Window_71.000,8/30,TIMEOUT,16.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1437,S,0.0150,1
72.0077,88495,Window_72.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1443,S,0.0150,1
73.0077,89574,Window_73.000,2/30,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1350,S,0.0150,1
74.0077,90671,Window_74.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1452,S,0.0150,1
75.0077,91768,Window_75.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1471,S,0.0150,1
76.0077,92870,Window_76.000,2/30,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1352,S,0.0150,1
77.0077,93934,Window_77.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1418,S,0.0150,1
78.0077,95037,Window_78.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1412,S,0.0150,1
79.0077,96114,Window_79.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1521,S,0.0150,1
80.0077,97216,Window_80.000,2/30,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1347,S,0.0150,1
81.0077,98305,Window_81.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1390,S,0.0150,1
82.0077,99406,Window_82.000,6/30,TIMEOUT,12.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1460,S,0.0150,1
83.0077,100481,Window_83.000,20/30,TIMEOUT,40.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1571,S,0.0150,1
84.0077,101574,Window_84.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1496,S,0.0150,1
85.0077,102680,Window_85.000,8/30,TIMEOUT,16.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1441,S,0.0150,1
86.0077,103742,Window_86.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1423,S,0.0150,1
87.0077,104844,Window_87.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1510,S,0.0150,1
88.0077,105950,Window_88.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1522,S,0.0150,1
89.0077,107024,Window_89.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1455,S,0.0150,1
90.0077,108118,Window_90.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1399,S,0.0150,1
91.0077,109204,Window_91.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1487,S,0.0150,1
92.0077,110296,Window_92.000,16/30,TIMEOUT,32.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1488,S,0.0150,1
93.0077,111400,Window_93.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1363,S,0.0150,1
94.0077,112490,Window_94.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1520,S,0.0150,1
95.0077,113554,Window_95.000,2/30,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1306,S,0.0150,1
96.0077,114651,Window_96.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1469,S,0.0150,1
97.0077,115741,Window_97.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1486,S,0.0150,1
98.0077,116838,Window_98.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1498,S,0.0150,1
99.0077,117926,Window_99.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1431,S,0.0150,1
100.0077,119018,Window_100.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1428,S,0.0150,1
101.0077,120114,Window_101.000,19/30,TIMEOUT,38.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1569,S,0.0150,1
102.0077,121196,Window_102.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1427,S,0.0150,1
103.0077,122293,Window_103.000,18/30,TIMEOUT,36.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1521,S,0.0150,1
104.0077,123389,Window_104.000,1/30,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1361,S,0.0150,1
105.0077,124480,Window_105.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1398,S,0.0150,1
106.0077,125553,Window_106.000,18/30,TIMEOUT,36.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1501,S,0.0150,1
107.0077,126641,Window_107.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1476,S,0.0150,1
108.0077,127738,Window_108.000,8/30,TIMEOUT,16.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1458,S,0.0150,1
109.0077,128831,Window_109.000,15/30,TIMEOUT,30.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1497,S,0.0150,1
110.0077,129930,Window_110.000,1/30,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1318,S,0.0150,1
111.0077,130995,Window_111.000,6/30,TIMEOUT,12.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1555,S,0.0150,1
