Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
83.1010,100500,Window_83.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0378,1
84.1010,101578,Window_84.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0359,1
85.1010,102663,Window_85.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
86.1010,103767,Window_86.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0403,1
87.1010,104842,Window_87.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
88.1010,105938,Window_88.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
89.1010,107021,Window_89.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0400,1
90.1010,108123,Window_90.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
91.1010,109217,Window_91.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0400,1
92.1010,110291,Window_92.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
93.1010,111397,Window_93.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0384,1
94.1010,112465,Window_94.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0284,1
95.1010,113561,Window_95.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0361,1
96.1010,114648,Window_96.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
97.1010,115748,Window_97.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0419,1
98.1010,116836,Window_98.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0395,1
99.1010,117917,Window_99.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0401,1
100.1010,119014,Window_100.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0351,1
101.1010,120117,Window_101.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0415,1
102.1010,121191,Window_102.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0408,1
103.1010,122275,Window_103.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0373,1
104.1010,123372,Window_104.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0341,1
105.1010,124459,Window_105.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0339,1
106.1010,125555,Window_106.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
107.1010,126645,Window_107.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
108.1010,127731,Window_108.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
109.1010,128821,Window_109.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0448,1
110.1010,129908,Window_110.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0364,1
111.1010,130992,Window_111.000,9/30,TIMEOUT,18.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
